sample	length	marker	subject
TM10N1	0	JF21	TM10
TM10P1	-0.04559065852525235	JF21	TM10
TM10P2	-0.17587143266966043	JF21	TM10
TM10N1	0	JF27	TM10
TM10P1	0.0484810590495548	JF27	TM10
TM10P2	0.01910891561411754	JF27	TM10
TM10N1	0	Nax10	TM10
TM10P1	0.01072652098654991	Nax10	TM10
TM10P2	0.00669876521232337	Nax10	TM10
TM10N1	0	Nax17	TM10
TM10P1	0.4053672691040795	Nax17	TM10
TM10P2	-0.02118418204735839	Nax17	TM10
TM10N1	0	Nax18	TM10
TM10P1	-0.04235189015712048	Nax18	TM10
TM10P2	-0.1006153381279109	Nax18	TM10
TM10N1	0	Nax30	TM10
TM10P1	4.998108408287294e-4	Nax30	TM10
TM10P2	-0.11167103333338169	Nax30	TM10
TM10N1	0	Nax38	TM10
TM10P1	-0.26582282431459525	Nax38	TM10
TM10P2	0.06052324888781868	Nax38	TM10
TM10N1	0	Nax43	TM10
TM10P1	0.00667232081515978	Nax43	TM10
TM10P2	-0.01550219116822848	Nax43	TM10
TM10N1	0	Nax47	TM10
TM10P1	0.37871771237777185	Nax47	TM10
TM10P2	0.1023336178057237	Nax47	TM10
TM10N1	0	Nax49	TM10
TM10P1	0.06393614262043812	Nax49	TM10
TM10P2	-0.01760673150558478	Nax49	TM10
TM10N1	0	Nax50LA	TM10
TM10P1	-0.03351125726736237	Nax50LA	TM10
TM10P2	-0.22712039345397272	Nax50LA	TM10
TM10N1	0	Nax50UA	TM10
TM10P1	0.01367315121561718	Nax50UA	TM10
TM10P2	-0.00435064201631085	Nax50UA	TM10
TM10N1	0	Nax51	TM10
TM10P1	0.19057692317747144	Nax51	TM10
TM10P2	0.02845347134178766	Nax51	TM10
TM10N1	0	Nax55	TM10
TM10P1	0.02912369065953779	Nax55	TM10
TM10P2	0.02086553116248302	Nax55	TM10
TM10N1	0	Nax56	TM10
TM10P1	-1.1899221148349106	Nax56	TM10
TM10P2	-0.1801661581284133	Nax56	TM10
TM10N1	0	S1124	TM10
TM10P1	-0.05457599283066861	S1124	TM10
TM10P2	0.00162880646289398	S1124	TM10
TM10N1	0	Sal21	TM10
TM10P1	0.03546638854907691	Sal21	TM10
TM10P2	-0.0394455063718544	Sal21	TM10
TM10N1	0	Sal22	TM10
TM10P1	0.07565805699676087	Sal22	TM10
TM10P2	-0.01461782512067833	Sal22	TM10
TM10N1	0	Sal27	TM10
TM10P1	-0.00747411118436902	Sal27	TM10
TM10P2	-0.00962153342922134	Sal27	TM10
TM10N1	0	Sal41	TM10
TM10P1	-0.07274505097933215	Sal41	TM10
TM10P2	-0.0687549502546414	Sal41	TM10
TM10N1	0	Sal45	TM10
TM10P1	0.16312266848134893	Sal45	TM10
TM10P2	-0.21353508256335377	Sal45	TM10
TM10N1	0	Sal46	TM10
TM10P1	-0.00360752945954212	Sal46	TM10
TM10P2	-0.00885961559380099	Sal46	TM10
TM10N1	0	Sal52	TM10
TM10P1	0.01738792725507965	Sal52	TM10
TM10P2	-0.00643759601028604	Sal52	TM10
TM10N1	0	Sal66	TM10
TM10P1	0.0231380376380077	Sal66	TM10
TM10P2	-0.01204868067162934	Sal66	TM10
TM10N1	0	Sal78	TM10
TM10P1	0.00278728686121709	Sal78	TM10
TM10P2	-0.02724287518892998	Sal78	TM10
TM10N1	0	Sal87	TM10
TM10P1	0.05575942329552008	Sal87	TM10
TM10P2	-0.09320198650063816	Sal87	TM10
TM11N1	0	JF21	TM11
TM11P1	-0.01720994711205259	JF21	TM11
TM11P2	-0.07160578011200425	JF21	TM11
TM11N1	0	JF27	TM11
TM11P1	0.02419537399602678	JF27	TM11
TM11P2	0.04008946229060095	JF27	TM11
TM11N1	0	Nax10	TM11
TM11P1	-0.00439141449659485	Nax10	TM11
TM11P2	0.00240945750862775	Nax10	TM11
TM11N1	0	Nax11LA	TM11
TM11P1	0.0021439522841864	Nax11LA	TM11
TM11P2	0.11488706328483024	Nax11LA	TM11
TM11N1	0	Nax11UA	TM11
TM11P1	-0.07009332119076506	Nax11UA	TM11
TM11P2	-0.13954436831841832	Nax11UA	TM11
TM11N1	0	Nax11	TM11
TM11P1	-0.07009332119076506	Nax11	TM11
TM11P2	-0.13954436831841832	Nax11	TM11
TM11N1	0	Nax18	TM11
TM11P1	0.12121764832878323	Nax18	TM11
TM11P2	0.1441269709388271	Nax18	TM11
TM11N1	0	Nax30	TM11
TM11P1	-0.8224921661066853	Nax30	TM11
TM11P2	-0.6654578183907418	Nax30	TM11
TM11N1	0	Nax40	TM11
TM11P1	-0.2849920497832583	Nax40	TM11
TM11P2	-0.4035282422219133	Nax40	TM11
TM11N1	0	Nax50	TM11
TM11P1	0.21108889966892885	Nax50	TM11
TM11P2	0.14905003243542048	Nax50	TM11
TM11N1	0	Nax51	TM11
TM11P1	-0.01927237354590882	Nax51	TM11
TM11P2	0.09643761876598413	Nax51	TM11
TM11N1	0	S1124	TM11
TM11P1	-0.22790556795849423	S1124	TM11
TM11P2	-0.24566578543578643	S1124	TM11
TM11N1	0	Sal21	TM11
TM11P1	0.0761753284927229	Sal21	TM11
TM11P2	0.10411953325046852	Sal21	TM11
TM11N1	0	Sal22	TM11
TM11P1	0.02453209759937058	Sal22	TM11
TM11P2	-0.06272791583952664	Sal22	TM11
TM11N1	0	Sal27	TM11
TM11P1	-0.00668438431556106	Sal27	TM11
TM11P2	-0.02471141558422296	Sal27	TM11
TM11N1	0	Sal41	TM11
TM11P1	0.3522262531108975	Sal41	TM11
TM11P2	0.7441929116431343	Sal41	TM11
TM11N1	0	Sal45	TM11
TM11P1	0.00632440050982863	Sal45	TM11
TM11P2	0.03835435925389419	Sal45	TM11
TM11N1	0	Sal46	TM11
TM11P1	-0.0081747428489729	Sal46	TM11
TM11P2	-0.00488463907366387	Sal46	TM11
TM11N1	0	Sal52	TM11
TM11P1	-0.1156833178468264	Sal52	TM11
TM11P2	-0.02566891778844127	Sal52	TM11
TM11N1	0	Sal66	TM11
TM11P1	-0.03592033348231371	Sal66	TM11
TM11P2	-0.10654838609362648	Sal66	TM11
TM11N1	0	Sal78	TM11
TM11P1	-0.05073916108264109	Sal78	TM11
TM11P2	0.01469431419644484	Sal78	TM11
TM12N1	0	JF21	TM12
TM12P1	0.06250949578504894	JF21	TM12
TM12P2	0.00843236929679669	JF21	TM12
TM12N1	0	JF27LA	TM12
TM12P1	0.05970057984742061	JF27LA	TM12
TM12P2	0.0168464450156387	JF27LA	TM12
TM12N1	0	JF27UA	TM12
TM12P1	-0.00471976787577599	JF27UA	TM12
TM12P2	-0.01524471765732293	JF27UA	TM12
TM12N1	0	Nax10LA	TM12
TM12P1	-0.00387085249695795	Nax10LA	TM12
TM12P2	-0.0180605975927306	Nax10LA	TM12
TM12N1	0	Nax17	TM12
TM12P1	0.11685695699854204	Nax17	TM12
